Purchase Order Number,Vendor Name,Department,Address,Shipment ID,Load Number,Assigned SCAC,Executing SCAC,PRO,Trip ID,Truck Load Optimization Reference ID,Status,Destination,Pickup Date,In Yard Goal Date,Final Routing Expected By,Cartons,Weight,Cube,Pallet Spaces,Commodity,bol,Appointment Number,Created By,Review By Date,Last Updated By
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443304,,,,,,,Routing In Progress,556,,2026-04-27,2026-04-24,143,604,78,2.01,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443303,,,,,,,Routing In Progress,588,,2026-04-30,2026-04-23,201,1033,104,2.63,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443302,,,,,,,Routing In Progress,557,,2026-04-24,2026-04-23,114,404,65,1.74,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443301,,,,,,,Routing In Progress,3865,,2026-04-24,2026-04-23,84,519,48,1.23,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443300,,,,,,,Routing In Progress,3856,,2026-04-29,2026-04-23,92,358,50,1.29,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443299,,,,,,,Routing In Progress,3868,,2026-04-26,2026-04-22,52,357,33,0.86,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443298,,,,,,,Routing In Progress,3808,,2026-04-28,2026-04-23,168,654,89,2.21,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443297,,,,,,,Routing In Progress,3806,,2026-04-29,2026-04-24,146,609,79,1.93,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443296,,,,,,,Routing In Progress,558,,2026-04-28,2026-04-23,212,956,117,2.98,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443295,,,,,,,Routing In Progress,3802,,2026-04-29,2026-04-28,229,933,128,3.27,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443294,,,,,,,Routing In Progress,3803,,2026-04-24,2026-04-23,218,966,125,3.24,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443292,,,,,,,Routing In Progress,3801,,2026-04-28,2026-04-27,155,688,88,2.23,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443293,,,,,,,Routing In Progress,3804,,2026-04-24,2026-04-23,203,888,114,2.99,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443291,,,,,,,Routing In Progress,593,,2026-04-28,2026-04-22,191,746,98,2.51,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443290,,,,,,,Routing In Progress,590,,2026-04-24,2026-04-23,230,1038,125,3.2,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443289,,,,,,,Routing In Progress,589,,2026-04-26,2026-04-23,183,798,102,2.6,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
10001831649,Kitcsh LLC,63,"1001 Bluff Rd, Romeoville, IL US 60446 ",SIQ14443288,,,,,,,Routing In Progress,587,,2026-04-24,2026-04-23,143,625,77,2,DRY GENERAL,,,SYSTEM,2026-04-14 23:59:00,targetpickups@rjwgroup.com
