Purchase Order Number,Vendor Name,Department,Address,Shipment ID,Load Number,Assigned SCAC,Executing SCAC,PRO,Trip ID,Truck Load Optimization Reference ID,Status,Destination,Pickup Date,In Yard Goal Date,Final Routing Expected By,Cartons,Weight,Cube,Pallet Spaces,Commodity,bol,Appointment Number,Created By,Review By Date,Last Updated By
10001857485,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14679729,,,,,,,Routing In Progress,594,,2026-05-17,2026-05-07,46,161,14,0.11,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001857485,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14679728,,,,,,,Routing In Progress,590,,2026-05-14,2026-05-08,6,21,2,0.02,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001857485,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14679726,,,,,,,Routing In Progress,587,,2026-05-15,2026-05-11,42,147,13,0.1,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001857485,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14679727,,,,,,,Routing In Progress,558,,2026-05-10,2026-05-08,1,4,1,0.01,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001857485,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14679725,,,,,,,Routing In Progress,593,,2026-05-09,2026-05-07,6,21,2,0.02,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001857485,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14679724,,,,,,,Routing In Progress,3801,,2026-05-12,2026-05-08,8,28,3,0.02,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001855569,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14666728,,,,,,,Routing In Progress,3811,,2026-05-16,2026-05-07,44,792,48,0.88,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001855569,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14666727,,,,,,,Routing In Progress,3804,,2026-05-16,2026-05-07,28,504,31,0.56,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001855569,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14666725,,,,,,,Routing In Progress,594,,2026-05-17,2026-05-07,47,846,51,0.94,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001855569,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14666726,,,,,,,Routing In Progress,3808,,2026-05-16,2026-05-07,30,540,32,0.6,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001855569,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14666724,,,,,,,Routing In Progress,587,,2026-05-15,2026-05-11,4,72,5,0.08,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001855569,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14666723,,,,,,,Routing In Progress,559,,2026-05-15,2026-05-11,5,90,6,0.1,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001855569,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14666722,,,,,,,Routing In Progress,593,,2026-05-09,2026-05-07,1,18,2,0.1,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001855569,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14666721,,,,,,,Routing In Progress,3803,,2026-05-14,2026-05-07,74,252,16,0.24,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
10001855569,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14666720,,,,,,,Routing In Progress,558,,2026-05-10,2026-05-08,2,36,3,0.04,REF 40-60,,,SYSTEM,2026-04-29 23:59:00,steve@built.com
