Purchase Order Number,Vendor Name,Department,Address,Shipment ID,Load Number,Assigned SCAC,Executing SCAC,PRO,Trip ID,Truck Load Optimization Reference ID,Status,Destination,Pickup Date,In Yard Goal Date,Final Routing Expected By,Cartons,Weight,Cube,Pallet Spaces,Commodity,bol,Appointment Number,Created By,Review By Date,Last Updated By
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001149,70582771,NFTG,NFTG,70582771,,,"Carrier Accepted, Awaiting Pickup",3802,2026-03-20,2026-03-25,2026-03-24,285,2095,103,1.5,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001148,70582772,NFTG,NFTG,70582772,,,Picked Up,3868,2026-03-18,2026-03-22,2026-03-19,30,221,11,0.25,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001147,70582772,NFTG,NFTG,70582772,,,Picked Up,593,2026-03-18,2026-03-24,2026-03-18,210,1544,76,1,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001146,70582772,NFTG,NFTG,70582772,,,Picked Up,3801,2026-03-18,2026-03-24,2026-03-19,105,772,38,0.5,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001145,70582771,NFTG,NFTG,70582771,,,"Carrier Accepted, Awaiting Pickup",3811,2026-03-20,2026-03-24,2026-03-23,180,1323,65,1,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001144,70582772,NFTG,NFTG,70582772,,,Picked Up,3865,2026-03-18,2026-03-20,2026-03-19,75,552,27,0.5,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001143,70582772,NFTG,NFTG,70582772,,,Picked Up,3804,2026-03-18,2026-03-20,2026-03-19,150,1103,54,1,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001142,70582772,NFTG,NFTG,70582772,,,Picked Up,3803,2026-03-18,2026-03-20,2026-03-19,105,772,38,0.5,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001141,70582772,NFTG,NFTG,70582772,,,Picked Up,3857,2026-03-18,2026-03-23,2026-03-20,75,552,27,0.5,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001140,70582772,NFTG,NFTG,70582772,,,Picked Up,3856,2026-03-18,2026-03-25,2026-03-19,105,772,38,0.5,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001139,70582772,NFTG,NFTG,70582772,,,Picked Up,3808,2026-03-18,2026-03-24,2026-03-19,180,1323,65,1,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001138,70582772,NFTG,NFTG,70582772,,,Picked Up,3806,2026-03-18,2026-03-25,2026-03-19,255,1875,92,1.5,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001137,70582772,NFTG,NFTG,70582772,,,Picked Up,590,2026-03-18,2026-03-20,2026-03-19,180,1323,65,1,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001136,70582772,NFTG,NFTG,70582772,,,Picked Up,587,2026-03-18,2026-03-20,2026-03-19,135,993,49,0.5,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001135,70582772,NFTG,NFTG,70582772,,,Picked Up,589,2026-03-18,2026-03-22,2026-03-19,195,1434,71,1,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
10001770554,ARMALY BRANDS,3,"1450 MCPHERSON PARK DR, HOWELL, MI US 48843 ",SIQ14001134,70582771,NFTG,NFTG,70582771,,,"Carrier Accepted, Awaiting Pickup",579,2026-03-20,2026-03-25,2026-03-24,180,1323,65,1,DRY SCENTED,,,SYSTEM,2026-03-12 23:59:00,mishipping@armalybrands.com
